name,price,sum(positive_ratings)
"Executive Assault",10.29,1180
"One Piece Pirate Warriors 3",31.99,4456
"The Jackbox Party Pack",18.99,774
"AER Memories of Old",13.49,1473
"School of Dragons",0,1851
"Axiom Verge",14.99,3084
"LEGO Worlds",24.99,9013
"Phoenix Force",2.79,486
GRAV,14.99,3484
"Amazing Frog?",12.39,1514
"Mystik Belle",10.99,2982
"The Exiled",0,1944
"Five Nights at Freddy's 2",5.79,8032
"Dark Deception",0,961
"Forward to the Sky",5.59,4275
"ADOM (Ancient Domains Of Mystery)",10.99,1755
"Cossacks 3",14.99,4298
"NEKOPARA Vol. 1",6.99,16160
"Caves of Qud",11.39,2996
"Dirty Bomb",0,43743
"Medieval Engineers",12.99,3233
"AKIBA'S TRIP: Undead ï¼† Undressed",14.99,2112
"Down To One",0.79,1736
Fortified,10.99,1972
"Town of Salem",3.99,13329
"Out There: Î© Edition",10.99,1704
Zero-K,0,873
"Tormentum - Dark Sorrow",9.29,3648
Transformice,0,11701
"DARK SOULSâ„¢ II: Scholar of the First Sin",29.99,25959
Brick-Force,0,1702
"Star Traders: Frontiers",11.39,1298
LISA,6.99,7450
"Words for Evil",1.99,1280
Nanofights,1.69,1220
Unavowed,10.99,2428
Typoman,7.99,2051
"Outcast 1.1",4.79,2304
"Deus Ex: Mankind Divided",19.99,16023
"Sentinels of the Multiverse",6.99,1288
"Paint the Town Red",11.39,4752
"Finding Paradise",6.99,6578
"Nameless ~The one thing you must recall~",22.99,1908
"The SKIES",0,5118
"Marble Duel",3.99,2041
"Venetica - Gold Edition",6.99,2106
"Ratz Instagib",6.99,2140
Batla,0,3368
"The Technomancer",23.99,1232
"Navy Field 2 : Conqueror of the Ocean",0,1198
"Fork Parker's Holiday Profit Hike",0,1530
"Morningstar: Descent to Deadrock",6.99,1805
"Dead Synchronicity: Tomorrow Comes Today",7.99,1164
"Oceanhorn: Monster of Uncharted Seas",10.99,1214
ZOMBI,16.99,1066
Strife,0,3677
"Resident Evil 0 / biohazard 0 HD REMASTER",15.99,4392
"Choice of Robots",4.79,1719
"Runestone Keeper",6.99,1924
"VEGA Conflict",0,1471
"Freestyle 2: Street Basketball",0,5781
HuniePop,6.99,17761
Survivalist,3.99,1605
"Moorhuhn (Crazy Chicken)",1.59,2299
Basement,6.99,3078
"FINAL FANTASY TYPE-0â„¢ HD",19.99,1447
TIMEframe,4.79,1086
Quintet,0,1911
"Spartans Vs Zombies Defense",0,2624
Tallowmere,2.89,1162
"Armed with Wings: Rearmed",7.19,2466
"Sunrider Academy",6.99,2442
"Death Goat",1.99,1200
Razenroth,3.99,3420
"Mad Games Tycoon",10.99,3211
Pluck,6.99,0
"Greyfox RPG",1.59,1145
"Super Cyborg",3.99,1200
"Among Ripples",0,911
"Keep Talking and Nobody Explodes",10.99,5745
"TEMBO THE BADASS ELEPHANT",9.99,1300
Hatred,4.79,5473
Dispatcher,3.19,2215
"Arizona Sunshine",29.99,3164
"MechWarrior Onlineâ„¢ Solaris 7",0,8524
"Sakura Angels",6.99,1759
Gunscape,0,2460
"Airships: Conquer the Skies",11.39,2066
"12 Labours of Hercules",1.99,2391
HyperRogue,3.99,2472
"Pixel Privateers",10.99,1842
"Project: Gorgon",30.99,594
"Destination Sol",0,1038
Overture,3.99,1738
Particula,0.79,2688
"Crash Drive 2",3.99,1250
Kholat,14.99,2593
"InMind VR",0,921
Tacoma,14.99,2051
Voxelized,2.79,2342
"Pixel Puzzles 2: Birds",6.99,2655
"Man O' War: Corsair - Warhammer Naval Battles",22.99,1496
CRYPTARK,10.99,621
"Reign Of Kings",7.19,8076
"Big Pharma",18.99,1033
"Flame Over",8.99,2288
"Victor Vran ARPG",15.99,4194
"LIGHTNING RETURNSâ„¢: FINAL FANTASY XIII",12.99,2135
"The Fruit of Grisaia",29.99,1384
"Without Within",0,1778
"Shantae and the Pirate's Curse",14.99,1477
Besiege,6.99,25880
"ARK: Survival Evolved",44.99,145035
"Boring Man - Online Tactical Stickman Combat",0,3613
David.,1.59,2860
"The Old Tree",0,2788
"BrainBread 2",0,2334
"Hero of the Kingdom II",5.59,1409
"Plazma Being",1.59,1988
"GOCCO OF WAR",14.99,829
"Marble Age",4.79,906
"Chip's Challenge 1",1.69,2520
"AdVenture Capitalist",0,35093
"Shadowrun: Hong Kong - Extended Edition",14.99,2235
"Rise & Shine",10.99,1395
"Frankenstein: Master of Death",3.99,1467
"Terra Incognita ~ Chapter One: The Descendant",0.79,2034
"Karate Master 2 Knock Down Blow",7.99,1182
"Fairy Fencer F",15.49,3994
"Bloodbath Kavkaz",3.19,2087
"Nimble Writer",6.99,1992
"Gun Wings",2.79,1710
"Google Earth VR",0,1788
Bierzerkers,3.99,1310
"SAMURAI WARRIORS 4-II",39.99,757
"Autobahn Police Simulator",8.99,1384
"GUILTY GEAR XX ACCENT CORE PLUS R",10.99,658
"Voices from the Sea",0,1083
"Saint Seiya: Soldiers' Soul",39.99,1588
"NARUTO SHIPPUDEN: Ultimate Ninja STORM 4",24.99,17336
"The Black Watchmen",7.19,1956
"Audition Online",0,1502
"Environmental Station Alpha",5.59,1554
"Wolfenstein: The Old Blood",14.99,6627
"Sherlock Holmes: The Devil's Daughter",29.99,2299
"The Bug Butcher",5.59,1878
"Pixel Puzzles 2: Anime",6.99,601
"Streets of Fury EX",6.99,927
"Pixel Puzzles Ultimate",0,895
"Regency Solitaire",6.99,754
Niffelheim,14.99,725
"DRAGON: A Game About a Dragon",1.59,1850
SURVIVAL,5.79,3931
"Sometimes: Success Requires Sacrifice",0.79,840
"Age of Fear: The Undead King",14.99,1668
"Intergalactic Bubbles",0.79,909
"Eternal Senia",0,10106
"UnReal World",7.99,1632
"Hyperdimension Neptunia Re;Birth2: Sisters Generation",19.49,2323
"Invisible Apartment",0,2664
"Dev Guy",0,2778
"Valhalla Hills",11.49,894
"Crazy Machines 3",7.99,3158
"The Descendant",0,2071
"Tales of Zestiria",39.99,5300
"Riff Racer - Race Your Music!",6.99,1281
"LEGO Jurassic World",15.99,2558
"Dead Realm",10.99,3057
"The Silent Age",6.99,9400
"Urban Empire",22.99,1544
"Subspace Continuum",0,1556
"The Universim",22.99,3078
"Time of Dragons",0,2190
"Hyperdimension Neptunia Re:Birth3 V Generation",19.49,2590
"how do you Do It?",0,4496
"Stephen's Sausage Roll",22.99,1671
"Plug & Play",1.99,3065
"Train Valley",6.99,1617
"Five Nights at Freddy's 3",5.79,4917
Aberoth,0,1496
"Please Donâ€™t Touch Anything",3.99,4986
LoveBeat,0,674
"Assassinâ€™s Creed Chronicles: China",8.59,1547
"The Settlers Online",0,996
"Adventures of Bertram Fiddle: Episode 1: A Dreadly Business",4.99,1580
"Sky Force Anniversary",6.99,2044
MotoGPâ„¢15,14.99,1938
"Codename CURE",0,11470
"Styx: Shards of Darkness",34.99,1532
"Space Run Galaxy",14.99,1434
Survarium,0,9985
"Home is Where One Starts...",1.99,1695
"Dungeon Warfare",6.99,1980
"Beyond Eyes",9.99,683
"Commander Cool 2",1.99,926
"Middle-earthâ„¢: Shadow of Warâ„¢",34.99,19813
"Soccer Manager 2015",0,2936
Thumper,15.99,1950
"Death's Gambit",14.99,2114
"Spooky's Jump Scare Mansion",0,9030
UBERMOSH,0.79,1761
"ULTIMATE MARVEL VS. CAPCOM 3",19.99,2772
Snakebird,4.99,615
"Space Beast Terror Fright",10.99,2692
Cobalt,11.39,1653
"Inside My Radio",10.99,1412
"The District",0.79,2128
"D4: Dark Dreams Donâ€™t Die -Season One-",10.99,1312
"Curious Expedition",10.99,3432
"Sunrider: Liberation Day - Captain's Edition",18.99,3276
"Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad",0.79,8258
"Q.U.B.E. 2",19.99,1094
"Evoland 2",14.99,2887
"Elite Dangerous",19.99,26143
"Amnesiaâ„¢: Memories",15.49,1803
"Tom Clancy's Rainbow Six Siege",16.99,251178
"Copa Petrobras de Marcas",0,1086
"FINAL FANTASY X/X-2 HD Remaster",19.99,6334
"The Incredible Adventures of Van Helsing III",10.99,1548
"How To Survive: Third Person Standalone",6.99,3792
"How to Survive 2",10.99,5823
"Mafia III",34.99,13366
"Into the Stars",14.99,1616
"12 Labours of Hercules III: Girl Power",1.99,1458
"Cards and Castles",0,1844
Downwell,1.99,4486
Yooka-Laylee,34.99,2434
"The Mean Greens - Plastic Warfare",3.99,5043
"Heaven Forest NIGHTS",0.79,925
Turmoil,6.99,3154
"Mother Russia Bleeds",10.99,2562
ASTRONEER,23.79,28375
Cradle,9.99,940
404Sight,0,1181
"Tree of Life",14.99,4433
"Lakeview Cabin Collection",6.99,1802
Exanima,10.99,2804
"Software Inc.",10.59,2578
"Fran Bow",10.99,4896
"Black Mesa",14.99,14113
Tyranny,23.79,6121
"Toukiden: Kiwami",49.99,2202
"ROMANCE OF THE THREE KINGDOMS XIII",49.99,2183
"Mega Man Legacy Collection",11.99,3190
Spermination,1.99,1404
"Tea Party Simulator 2015â„¢",6.99,2360
"Battlefleet Gothic: Armada",24.99,6096
