genres,release_date,count(genres)
Action;Adventure;Casual;Indie;RPG;Simulation;Strategy,2015-05-05,2
Casual;Simulation;Sports;Strategy,2015-05-28,2
RPG;Simulation,2015-05-26,2
"Action;Free to Play;Indie;Early Access",2015-06-10,2
"Action;Adventure;Casual;Indie;Early Access",2015-08-21,2
Action;Casual;Indie;RPG;Simulation;Strategy,2015-07-31,2
"Adventure;Indie;Simulation;Strategy;Early Access",2015-08-05,2
Action;Adventure;Casual,2015-07-24,2
Action;Adventure;RPG;Strategy,2015-07-20,2
Adventure;Indie;RPG;Simulation,2015-09-25,2
Simulation;Sports;Strategy,2015-09-03,2
Indie;Racing;Sports,2015-09-08,2
Adventure;Casual;Strategy,2015-11-23,2
"Photo Editing;Utilities;Video Production",2015-04-03,1
"Racing;Simulation;Early Access",2015-05-29,1
"Action;RPG;Early Access",2015-02-11,1
"Action;Adventure;Free to Play;Sports;Strategy",2015-05-19,1
"Action;Free to Play;Indie;Massively Multiplayer;RPG",2015-08-31,1
Action;Casual;Indie;Sports;Strategy,2015-05-01,1
Action;Casual;Indie;RPG;Strategy,2015-06-04,1
"Free to Play;RPG;Strategy",2015-07-13,1
"Action;Casual;Free to Play;Indie;Simulation",2015-12-22,1
"Action;Free to Play;Massively Multiplayer;Strategy",2015-04-30,1
"Action;Adventure;Casual;Free to Play;Massively Multiplayer;RPG",2015-07-09,1
"Action;Casual;Indie;Simulation;Strategy;Early Access",2015-01-29,1
"RPG;Simulation;Strategy;Early Access",2015-10-21,1
Action;Racing;Sports,2015-10-09,1
"Indie;Massively Multiplayer;RPG;Early Access",2015-03-25,1
"Casual;Free to Play;Indie;Simulation;Sports;Strategy",2015-12-07,1
Indie;Simulation;Sports,2015-08-21,1
"Action;Adventure;Casual;Indie;RPG;Simulation;Strategy;Early Access",2015-08-28,1
"Action;Casual;Free to Play;Indie;RPG;Strategy",2015-07-20,1
Action;Indie;Racing;Simulation;Sports,2015-07-29,1
"Action;Adventure;Casual;Indie;RPG;Simulation;Early Access",2015-07-31,1
"Indie;Racing;Sports;Early Access",2015-05-06,1
"Indie;Racing;Early Access",2015-10-26,1
Action;Adventure;Sports,2015-12-17,1
"Action;Casual;Indie;Massively Multiplayer;Strategy;Early Access",2015-03-11,1
"Free to Play;Indie;Strategy;Early Access",2015-01-20,1
Action;RPG;Simulation,2015-04-27,1
"RPG;Strategy;Early Access",2015-03-31,1
Action;Adventure;Strategy,2015-02-24,1
Violent;Gore;Action;Indie,2015-02-06,1
"Adventure;Indie;RPG;Strategy;Early Access",2015-07-15,1
Action;Adventure;Casual;RPG,2015-05-26,1
"Free to Play;Indie;Massively Multiplayer",2015-01-30,1
"Adventure;Free to Play;Massively Multiplayer;RPG",2015-08-14,1
"Action;Free to Play;Indie;RPG;Strategy",2015-01-20,1
"Free to Play;Massively Multiplayer;RPG;Strategy",2015-11-24,1
"Animation & Modeling;Design & Illustration;Photo Editing;Software Training;Utilities;Video Production",2015-03-11,1
"Action;Free to Play;Massively Multiplayer;RPG;Simulation;Strategy",2015-03-05,1
"Action;Free to Play;RPG;Strategy",2015-05-22,1
"Action;Casual;Free to Play;Massively Multiplayer;Sports",2015-04-01,1
"Racing;Sports;Early Access",2015-02-25,1
"Action;Casual;Free to Play;Indie;Strategy",2015-01-06,1
"Action;Adventure;Free to Play;Massively Multiplayer",2015-03-12,1
"Casual;Indie;Simulation;Strategy;Early Access",2015-01-02,1
"Action;Adventure;Casual;Free to Play;Indie;Massively Multiplayer;RPG;Early Access",2015-04-22,1
"Indie;Simulation;Sports;Early Access",2015-07-27,1
Action;Adventure;RPG;Simulation;Strategy,2015-01-23,1
"Action;Indie;RPG;Strategy;Early Access",2015-11-05,1
"Action;Adventure;RPG;Early Access",2015-06-01,1
"Action;Free to Play;Massively Multiplayer;Simulation;Strategy",2015-12-10,1
"Action;Casual;Free to Play;RPG;Simulation;Strategy",2015-03-03,1
"Action;Adventure;Indie;Racing;Simulation;Sports;Early Access",2015-03-13,1
"Action;Casual;Free to Play;Strategy",2015-07-17,1
"Action;Indie;Racing;Early Access",2015-02-12,1
"Action;Adventure;Casual;Indie;Racing;RPG;Simulation;Strategy;Early Access",2015-10-01,1
"Action;Adventure;Indie;Strategy;Early Access",2015-02-12,1
"Action;Free to Play;Indie;Massively Multiplayer",2015-02-20,1
Adventure;Indie;Racing,2015-05-12,1
"Casual;Indie;Massively Multiplayer;Racing",2015-02-12,1
"Animation & Modeling;Design & Illustration;Education;Software Training;Utilities;Video Production;Web Publishing;Game Development",2015-07-13,1
Action;Indie;RPG;Sports,2015-03-20,1
"Design & Illustration;Utilities;Web Publishing",2015-04-21,1
"Action;Adventure;Casual;Free to Play;Indie;RPG",2015-02-20,1
"Casual;Indie;RPG;Strategy;Early Access",2015-04-30,1
"Casual;Free to Play;Massively Multiplayer",2015-06-03,1
"Action;Free to Play;RPG",2015-04-27,1
"Action;Adventure;Casual;Indie;Simulation;Early Access",2015-03-25,1
Action;Casual;Indie;Simulation;Strategy,2015-03-27,1
Violent;Gore;Indie,2015-03-24,1
"Action;Casual;Free to Play;Massively Multiplayer",2015-07-03,1
"Action;Adventure;Free to Play;Indie;Massively Multiplayer;RPG",2015-07-17,1
Action;Adventure;Casual;Strategy,2015-11-06,1
"Action;Free to Play;Massively Multiplayer",2015-03-26,1
"Adventure;RPG;Strategy;Early Access",2015-03-25,1
"Action;Free to Play;Massively Multiplayer;RPG;Early Access",2015-04-02,1
"Free to Play;Sports",2015-07-16,1
"Action;Indie;Sports;Early Access",2015-06-02,1
"Action;Adventure;Free to Play;Indie",2015-07-28,1
"Action;Massively Multiplayer;Strategy;Early Access",2015-04-29,1
"Action;Adventure;Massively Multiplayer;RPG;Simulation;Strategy",2015-04-02,1
"Free to Play;Racing;Simulation;Sports",2015-04-08,1
"Action;Indie;Massively Multiplayer",2015-07-16,1
"Action;Adventure;Casual;Indie;Massively Multiplayer;RPG;Simulation;Strategy",2015-07-07,1
"Design & Illustration;Web Publishing",2015-10-23,1
"Adventure;Casual;Free to Play;Indie;RPG;Simulation;Strategy",2015-05-13,1
"Animation & Modeling;Design & Illustration;Education;Software Training;Utilities",2015-05-01,1
"Action;Adventure;Massively Multiplayer;Simulation",2015-05-05,1
Adventure;Casual;Indie;Sports,2015-08-18,1
"Simulation;Sports;Early Access",2015-04-28,1
"Action;Massively Multiplayer;Early Access",2015-06-26,1
"Action;Simulation;Early Access",2015-10-01,1
Action;Casual;Simulation;Sports;Strategy,2015-06-19,1
"RPG;Early Access",2015-10-13,1
Action;Simulation;Sports,2015-08-03,1
"Animation & Modeling;Design & Illustration;Education;Photo Editing;Software Training;Utilities;Video Production",2015-05-22,1
"Action;Free to Play;Indie;Strategy;Early Access",2015-12-29,1
"Animation & Modeling;Design & Illustration;Education;Utilities;Early Access",2015-06-05,1
"Action;Casual;Indie;Simulation;Sports;Early Access",2015-11-04,1
Action;Adventure;Casual;Indie;Racing;RPG;Simulation;Sports;Strategy,2015-07-07,1
Casual;Racing;Sports,2015-07-09,1
"Adventure;Free to Play;Indie;Massively Multiplayer;RPG;Early Access",2015-08-18,1
"Action;Early Access",2015-05-27,1
"Action;Indie;RPG;Simulation;Early Access",2015-06-25,1
Adventure;Casual;Indie;RPG;Simulation;Strategy,2015-06-04,1
"Action;Casual;Indie;RPG;Early Access",2015-07-01,1
"Audio Production;Utilities",2015-12-10,1
"Action;Adventure;Casual;Indie;Massively Multiplayer;Racing;RPG;Simulation;Sports;Strategy",2015-07-15,1
"Sexual Content;Violent;Gore;Adventure;Free to Play;Indie",2015-08-31,1
"Sexual Content;Nudity;Indie;Simulation",2015-08-14,1
"Action;Adventure;Free to Play;Indie;Massively Multiplayer;RPG;Early Access",2015-06-26,1
"Casual;Indie;Simulation;Early Access",2015-12-31,1
"Action;Massively Multiplayer;Racing;RPG;Simulation;Early Access",2015-07-16,1
"Action;Casual;Free to Play;Indie;RPG",2015-07-17,1
"Casual;Indie;Massively Multiplayer;Strategy",2015-07-24,1
Violent;Gore;Action,2015-08-18,1
"Casual;Free to Play;Strategy",2015-07-09,1
Action;Casual;Indie;Racing;Sports,2015-07-08,1
"Racing;Early Access",2015-07-14,1
Adventure;Casual;Racing,2015-09-23,1
"Sexual Content;Nudity;Casual;Free to Play;Indie",2015-07-29,1
"Action;Simulation;Strategy;Early Access",2015-07-16,1
"Indie;Massively Multiplayer;Strategy;Early Access",2015-08-14,1
"Free to Play;RPG",2015-08-26,1
"Adventure;Indie;RPG;Simulation;Early Access",2015-10-05,1
"Adventure;Free to Play;Indie;RPG",2015-08-10,1
"Design & Illustration;Education;Utilities",2015-10-05,1
"Free to Play;Simulation",2015-07-29,1
Gore;Adventure;Indie,2015-08-03,1
"Free to Play;Massively Multiplayer;Simulation",2015-11-12,1
Violent;Gore;Action;Adventure;Indie,2015-09-04,1
"Action;Free to Play;Early Access",2015-08-25,1
"Adventure;Indie;Strategy;Early Access",2015-09-21,1
"Adventure;Casual;Free to Play",2015-09-24,1
"Action;Free to Play;Indie;Massively Multiplayer;Sports",2015-08-26,1
"Action;Adventure;Simulation;Early Access",2015-12-03,1
Violent;Action;Indie,2015-12-02,1
"Free to Play;Indie;Racing;Strategy",2015-09-03,1
Indie;Sports;Strategy,2015-12-09,1
"Action;Free to Play;Simulation;Strategy",2015-10-15,1
Action;Adventure;Casual;Simulation;Strategy,2015-09-02,1
"Adventure;Indie;Massively Multiplayer",2015-12-23,1
Gore;Action;Adventure;Indie,2015-10-01,1
"Animation & Modeling;Design & Illustration;Game Development",2015-09-24,1
"Action;Adventure;Free to Play;RPG;Simulation",2015-10-30,1
"Adventure;Casual;Free to Play;Indie;RPG;Simulation",2015-09-22,1
"Action;Adventure;Casual;Indie;Strategy;Early Access",2015-11-24,1
"Casual;Free to Play;Indie;Massively Multiplayer;RPG;Early Access",2015-11-30,1
"Free to Play;Indie;Sports;Strategy",2015-10-07,1
"Action;Adventure;Indie;Massively Multiplayer;RPG;Early Access",2015-10-16,1
"Animation & Modeling;Design & Illustration;Photo Editing;Utilities;Web Publishing;Game Development",2015-11-05,1
"Action;Massively Multiplayer;RPG",2015-12-21,1
"Action;Free to Play;Massively Multiplayer;Racing;Early Access",2015-12-01,1
"Action;Indie;Massively Multiplayer;Racing;Simulation;Sports",2015-12-21,1
"Casual;Free to Play;Indie;RPG;Simulation;Strategy",2015-11-02,1
Action;Adventure;Casual;Indie;Simulation;Strategy,2015-12-10,1
"Free to Play;Strategy;Early Access",2015-12-17,1
Action;Casual;Strategy,2015-11-09,1
"Adventure;Free to Play;Indie;Early Access",2015-11-30,1
"Sexual Content;Nudity;Adventure;Casual",2015-12-21,1
"Indie;RPG;Early Access",2015-12-04,1
"Adventure;Indie;RPG;Simulation;Strategy;Early Access",2015-12-18,1
"Action;Adventure;Indie;RPG;Simulation;Strategy;Early Access",2015-12-18,1
"Audio Production;Education;Software Training;Video Production;Web Publishing",2015-12-18,1
