genres,release_date,count(genres)
Action;Indie,2014-02-24,79
Adventure;Casual,2014-03-06,61
Adventure,2014-04-30,57
Action,2014-04-04,55
Adventure;Indie,2014-06-05,53
Action;Adventure;Indie,2014-07-15,43
Casual,2014-02-20,39
Action;Adventure,2014-02-25,36
Strategy,2014-09-22,35
Indie,2014-04-01,29
Indie;Strategy,2014-04-11,25
Adventure;Casual;Indie,2014-05-28,25
Simulation,2014-05-30,25
Action;Casual;Indie,2014-04-25,24
Simulation;Strategy,2014-05-22,22
Casual;Indie,2014-12-12,19
Adventure;Indie;RPG,2014-03-14,18
Indie;RPG,2014-10-17,17
RPG,2014-03-13,16
Action;Adventure;Casual;Indie,2014-05-16,14
Casual;Indie;Strategy,2014-05-29,14
Casual;Indie;Simulation;Strategy,2014-06-06,12
Action;Indie;Strategy,2014-06-13,11
Action;Adventure;Indie;RPG,2014-03-05,10
Indie;RPG;Strategy,2014-05-05,10
Casual;Indie;Simulation,2014-05-02,9
Action;Indie;RPG,2014-06-16,9
Indie;Simulation,2014-08-21,9
Adventure;Casual;Indie;RPG,2014-04-18,8
Action;Indie;Racing,2014-03-19,8
Racing,2014-04-24,8
Action;Simulation,2014-03-10,8
RPG;Strategy,2014-09-18,8
Indie;Simulation;Strategy,2014-03-27,7
Action;Racing,2014-03-12,7
Casual;Strategy,2014-04-23,6
Sports,2014-03-28,5
Action;Strategy,2014-04-18,5
Action;Casual;Indie;Strategy,2014-04-28,5
"Action;Indie;Early Access",2014-06-16,5
"Indie;Simulation;Strategy;Early Access",2014-09-11,4
Action;Adventure;RPG,2014-04-17,4
Casual;Simulation;Strategy,2014-03-25,4
Action;Adventure;Casual;Indie;RPG,2014-05-15,4
Adventure;Casual;Indie;RPG;Strategy,2014-03-17,4
Action;Casual,2014-06-06,4
Action;RPG,2014-04-23,4
Action;Adventure;Simulation,2014-04-16,4
"Action;Adventure;Free to Play;Indie",2014-09-26,4
Adventure;Simulation,2014-10-09,4
Adventure;Indie;RPG;Simulation,2014-03-04,3
Casual;RPG,2014-02-21,3
Casual;Indie;RPG;Simulation,2014-07-02,3
Adventure;Indie;Simulation,2014-11-14,3
