genres,release_date,count(genres)
"Action;Casual;Free to Play;Indie;RPG",2016-10-20,1
"Free to Play;Massively Multiplayer;Racing",2016-10-18,1
"Sexual Content;Nudity;Adventure;Casual;Indie",2016-10-20,1
"Violent;Action;Casual;Indie;Simulation;Early Access",2016-11-17,1
"Adventure;Free to Play;Indie;Massively Multiplayer;RPG",2016-11-14,1
"Nudity;Violent;Action;Indie;Early Access",2016-11-09,1
Nudity;Casual;Indie,2016-11-15,1
"Violent;Gore;Action;Indie;Early Access",2016-10-28,1
"Free to Play;Indie;Racing;Sports",2016-10-21,1
"Casual;Free to Play;Massively Multiplayer;Simulation;Sports",2016-12-13,1
"Sexual Content;Adventure;Indie",2016-12-03,1
"Violent;Gore;Action;Adventure;Free to Play;Indie;RPG;Early Access",2016-10-20,1
"Sexual Content;Nudity;Violent;Gore;Action;Adventure;Indie;Early Access",2016-12-11,1
"Casual;Indie;Massively Multiplayer;RPG;Early Access",2016-11-25,1
"Adventure;Casual;Indie;Simulation;Early Access",2016-10-20,1
"Utilities;Video Production",2016-11-03,1
Violent;Action,2016-11-08,1
"Sexual Content;Nudity;Casual;Indie;Simulation",2016-10-28,1
"Indie;Racing;Sports;Early Access",2016-12-28,1
"Violent;Action;Indie;Strategy;Early Access",2016-12-15,1
"Action;Casual;Indie;Massively Multiplayer;RPG;Simulation",2016-11-04,1
Action;Casual;Indie;Racing;Simulation,2016-11-18,1
"Sexual Content;Nudity;Violent;Gore;Action;Adventure;Indie;RPG;Early Access",2016-11-15,1
Gore;Action;Adventure;Strategy,2016-10-31,1
Nudity;Gore;Adventure;Casual;Indie,2016-11-03,1
"Accounting;Education;Software Training;Utilities;Early Access",2016-12-05,1
Violent;Gore;Action;Adventure;Strategy,2016-12-16,1
Casual;Racing;Sports,2016-12-16,1
"Indie;Massively Multiplayer;Racing;Simulation;Sports",2016-11-24,1
"Action;Adventure;Indie;RPG;Sports;Strategy;Early Access",2016-12-21,1
"Violent;Action;Adventure;Indie;Strategy;Early Access",2016-11-15,1
"Action;Free to Play;Indie;Massively Multiplayer;RPG",2016-11-22,1
Action;Adventure;Indie;Racing;Simulation,2016-11-17,1
"Action;Casual;Indie;Simulation;Strategy;Early Access",2016-12-09,1
"Gore;Action;Indie;RPG;Early Access",2016-11-24,1
Violent;Gore;Adventure;Indie;RPG,2016-11-21,1
Violent;Action;Adventure;RPG,2016-12-02,1
Nudity;Violent;Gore;Adventure;Casual;Simulation,2016-12-09,1
"Free to Play;Indie;Massively Multiplayer;Simulation",2016-11-29,1
"Violent;Free to Play;Indie;Strategy;Early Access",2016-12-22,1
"Free to Play;RPG;Early Access",2016-12-23,1
"Sexual Content;Nudity;Action;Casual;Indie;RPG;Simulation;Strategy",2016-11-18,1
"Action;Casual;Simulation;Sports;Early Access",2016-12-22,1
Action;Adventure;RPG;Strategy,2016-11-25,1
"Violent;Gore;Action;Casual;Indie;Early Access",2016-12-01,1
"Action;Casual;Indie;Massively Multiplayer;Simulation;Sports",2016-11-30,1
Violent;Action;Adventure;Indie;RPG,2016-12-08,1
Violent;Action;Adventure;Simulation,2016-12-05,1
"Casual;Free to Play;Indie;Racing;Simulation;Early Access",2016-12-21,1
"Sexual Content;Casual",2016-12-19,1
"Adventure;Free to Play;Indie;Early Access",2016-12-18,1
Indie;Racing;RPG;Simulation,2016-12-16,1
Violent;Gore;Action;Casual;Strategy,2016-12-21,1
"Sexual Content;Violent;Gore;Adventure;Indie",2016-12-20,1
"Sexual Content;Violent;Gore;Adventure;Indie;Early Access",2016-12-20,1
Nudity;Violent;Gore;Action;Indie,2016-12-21,1
"Sexual Content;Casual;Free to Play;Indie",2016-12-20,1
